Code,Prijs,Adres,Stad,Type,Bouwjaar,EPC,Woonopp.,Slaapkamers,Badkamers,Grondopp.,Bebouwing,Garages,Tuin,Dagen,Link,Handelsopp.,First,Last,Scraped
KGW4O,235000.0, vande Vijverstraat 19,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,187 k Wh / m Â²,96.0,1,1.0,158.0, gesloten ,2.0, Z W ,33.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KGW4O,,2023-09-03,,2023-10-06
KG51F,189900.0, Brusselbaan L O T 8,9320 Erembodegem , Grond , opaanvraag Â»,187 k Wh / m Â²,96.0,1,1.0,636.0, halfopen ,2.0, Z W ,12.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KG51F,,2023-09-24,,2023-10-06
KFNKJ,185000.0, Jagershoek 81,9320 Erembodegem , Woning ( Huis ),1919,1022 k Wh / m Â²,121.0,3,1.0,651.0, opaanvraag Â»,1.0, N W ,115.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KFNKJ,,2023-06-13,,2023-10-06
KFI70,172000.0, Termurenlaan 12/3.4,9320 Erembodegem , Duplex ( Appartement ),2008, Inaanvraag ,55.0,1,1.0,651.0, opaanvraag Â»,1.0, N W ,49.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KFI70,,2023-08-18,,2023-10-06
KFCKX,260000.0, Vinkenlaan 1,9320 Erembodegem , Bouwgrond ( Grond ),2008, Inaanvraag ,55.0,1,1.0,1222.0, opaanvraag Â»,1.0, N W ,21.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KFCKX,,2023-09-15,,2023-10-06
KEK9A,350000.0, Hogeweg 123,9320 Erembodegem , Woning ( Huis ), opaanvraag Â», Inaanvraag ,, opaanvraag Â»,1.0,800.0, halfopen ,1.0, N W ,46.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KEK9A,,2023-08-21,,2023-10-06
KEJXF,350000.0, Hoge Weg 123,9320 Erembodegem , Projectgrond ( Grond ), opaanvraag Â», Inaanvraag ,, opaanvraag Â»,1.0,800.0, halfopen ,1.0, N W ,14.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KEJXF,,2023-09-22,,2023-10-06
KE6YL,244000.0, Hofter Lokerenstraat 5,9320 Erembodegem , Woning ( Huis ),1957,390 k Wh / m Â²,158.0,3,1.0,640.0, gesloten ,1.0, N W ,177.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KE6YL,,2023-04-12,,2023-10-06
KE1NY,240000.0, Papeveld 11,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,409 k Wh / m Â²,160.0,3,1.0,892.0, gesloten ,1.0, N W ,156.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KE1NY,,2023-05-03,,2023-10-06
KCURB,172500.0, Straatnietgekend ,, Appartement ,1993,286 k Wh / m Â²,110.0,2,1.0,892.0, gesloten ,1.0, N W ,67.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KCURB,,2023-07-31,,2023-10-06
