0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 419.000,Adres,"Jonghelinckstraat 19A, 2018 Antwerpen",Type,Triplex (Appartement),Woonopp.,134 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,280 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 475,https://www.zimmo.be/nl/antwerpen-2018/te-koop/appartement/KIKXN,Days: 61,,,,,,,,,,,,
Prijs,€ 449.000,Adres,"Esmoreitlaan 7 / 42, 2050 Antwerpen",Type,Appartement,Woonopp.,154 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1998,EPC,350 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 2.201,https://www.zimmo.be/nl/antwerpen-2050/te-koop/appartement/KIKXG,Days: 13,,,,,,,,,,,,
Prijs,€ 449.000,Adres,"Esmoreitlaan 7 / 42, 2050 Antwerpen",Type,Duplex (Appartement),Woonopp.,154 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1998,EPC,350 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 2.201,https://www.zimmo.be/nl/antwerpen-2050/te-koop/appartement/KIKXM,Days: 22,,,,,,,,,,,,
Prijs,€ 419.000,Adres,"Jonghelinckstraat 19A, 2018 Antwerpen",Type,Woning (Huis),Woonopp.,134 m²,Grondopp.,op aanvraag »,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,280 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 475,https://www.zimmo.be/nl/antwerpen-2018/te-koop/huis/KIKXK,Days: 68,,,,,,,,
Prijs,€ 185.000,Adres,"Antoon Van den Bosschelaan 79 / 2, 2100 Deurne",Type,Appartement,Woonopp.,81 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1965,EPC,226 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/deurne-2100/te-koop/appartement/KIKWP,Days: 57,,,,,,,,,,,,,,
Prijs,€ 945.000,Adres,"Straat niet gekend,",2020 Antwerpen,Type,Woning (Huis),Woonopp.,313 m²,Grondopp.,384 m²,Slaapkamers,5,Badkamers,2,Garages,2,Bebouwing,gesloten,Bouwjaar,1928,EPC,223 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 2.059,https://www.zimmo.be/nl/antwerpen-2020/te-koop/huis/KIKWN,Days: 60,,,,,
Prijs,€ 1.780.000,Adres,"Straat niet gekend,",2000 Antwerpen,Type,Uitzonderlijke woning (Huis),Woonopp.,393 m²,Grondopp.,127 m²,Slaapkamers,4,Badkamers,4,Garages,1,Bebouwing,gesloten,Bouwjaar,1901,EPC,153 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.803,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/antwerpen-2000/te-koop/huis/KIKWM,Days: 76,,,
Prijs,€ 2.300.000,Adres,"Straat niet gekend,",2000 Antwerpen,Type,Villa (Huis),Woonopp.,450 m²,Grondopp.,1.004 m²,Slaapkamers,4,Badkamers,2,Bebouwing,open,Bouwjaar,op aanvraag »,EPC,296 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 4.037,Vrij op,overeen te komen,https://www.zimmo.be/nl/antwerpen-2000/te-koop/huis/KIKWL,Days: 54,,,,,
Prijs,"€ 373.662,50",Adres,"De Keyserlei, 2000 Antwerpen",Type,Project,Woonopp.,vanaf 71 m²,Grondopp.,vanaf 164 m²,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/antwerpen-2000/te-koop/nieuwbouwproject/1004CEI,Days: 939,,,,,,,,,,,,,,,,
Prijs,"€ 360.758,50",Adres,"Eksterlaar 1, 2100 Deurne",Type,Project,Woonopp.,vanaf 167 m²,Grondopp.,vanaf 142 m²,Slaapkamers,op aanvraag »,Bouwjaar,2020,EPC,Bekijk info,https://www.zimmo.be/nl/deurne-2100/te-koop/nieuwbouwproject/10049WL,Days: 2797,,,,,,,,,,,,,,,,
Prijs,"€ 243.244,80",Adres,"Eksterlaar 1, 2100 Deurne",Type,Project,Woonopp.,vanaf 83 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/deurne-2100/te-koop/nieuwbouwproject/10049WK,Days: 1312,,,,,,,,,,,,,,,,
Prijs,€ 625.000,Adres,"Steenhouwersvest 7, 2000 Antwerpen",Type,Woning (Huis),Woonopp.,200 m²,Grondopp.,op aanvraag »,Slaapkamers,4,Badkamers,3,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,350 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 2.088,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/antwerpen-2000/te-koop/huis/KIKU1,Days: 59,,,,,,
Prijs,€ 50.000,Adres,"Timmerwerfstraat 10, 2000 Antwerpen",Type,Kelder garage (Garage),Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,onmiddellijk,https://www.zimmo.be/nl/antwerpen-2000/te-koop/garage/KIKTX,Days: 14,,,,,,,,,,,,,,,,
Prijs,€ 525.000,Adres,"Venneborglaan 1, 2100 Deurne",Type,Woning (Huis),Woonopp.,201 m²,Grondopp.,117 m²,Slaapkamers,6,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,371 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 654,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/deurne-2100/te-koop/huis/KIKU2,Days: 65,,,,,,
Prijs,€ 265.000,Adres,"Waterhoenlaan 16, 2050 Antwerpen",Type,Appartement,Woonopp.,97 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,165 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 765,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/antwerpen-2050/te-koop/appartement/KIKTZ,Days: 27,,,,,,,,
Prijs,€ 189.000,Adres,"Kruishofstraat 146 / 14H, 2020 Antwerpen",Type,Appartement,Woonopp.,84 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,195 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 728,Vrij op,overeen te komen,https://www.zimmo.be/nl/antwerpen-2020/te-koop/appartement/KIKRZ,Days: 65,,,,,,,,,,
Prijs,€ 164.000,Adres,"Bleekhofstraat 119 / 201, 2018 Antwerpen",Type,Appartement,Woonopp.,80 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,174 kWh/m²,Renovatieplicht,Niet van toepassing,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/antwerpen-2018/te-koop/appartement/KIKTV,Days: 206,,,,,,,,,,,,
Prijs,€ 470.000,Adres,"Haantjeslei 55, 2018 Antwerpen",Type,Project,Woonopp.,vanaf 117 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2023,EPC,Bekijk info,https://www.zimmo.be/nl/antwerpen-2018/te-koop/nieuwbouwproject/1004CPS,Days: 190,,,,,,,,,,,,,,,,
Prijs,€ 230.000,Adres,"Dokter Van De Perrelei 116, 2140 Borgerhout",Type,Project,Woonopp.,vanaf 65 m²,Grondopp.,vanaf 186 m²,Slaapkamers,op aanvraag »,Bouwjaar,1955,EPC,Bekijk info,https://www.zimmo.be/nl/borgerhout-2140/te-koop/nieuwbouwproject/1004CO1,Days: 291,,,,,,,,,,,,,,,,
Prijs,€ 199.000,Adres,"Hof ter Bekestraat 2 / A, 2018 Antwerpen",Type,Appartement,Woonopp.,75 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1875,EPC,251 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/antwerpen-2018/te-koop/appartement/KIKNO,Days: 91,,,,,,,,,,,,
Prijs,Prijs op aanvraag »,Adres,"Straat niet gekend,",2018 Antwerpen,Type,Appartement,Woonopp.,219 m²,Slaapkamers,4,Badkamers,2,Garages,1,Bouwjaar,1976,EPC,166 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.943,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/antwerpen-2018/te-koop/appartement/KIKNF,Days: 139,,,,,,,
Prijs,€ 309.000,Adres,"Straat niet gekend,",2180 Ekeren,Type,Woning (Huis),Woonopp.,224 m²,Grondopp.,190 m²,Slaapkamers,5,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,564 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 535,https://www.zimmo.be/nl/ekeren-2180/te-koop/huis/KIKMY,Days: 59,,,,,,,
Prijs,€ 839.000,Adres,"Strijdhoflaan 117, 2600 Berchem",Type,Herenwoning (Huis),Woonopp.,220 m²,Grondopp.,150 m²,Slaapkamers,3,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,168 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/berchem-2600/te-koop/huis/KIKNG,Days: 59,,,,,,,,
Prijs,€ 299.000,Adres,"Verenigde Natieslaan 144, 2660 Hoboken",Type,Woning (Huis),Woonopp.,111 m²,Grondopp.,333 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,1966,EPC,763 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 751,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/hoboken-2660/te-koop/huis/KIKNN,Days: 128,,,,
Prijs,€ 459.000,Adres,"Louisalei 38, 2660 Hoboken",Type,Burgerswoning (Huis),Woonopp.,200 m²,Grondopp.,410 m²,Slaapkamers,5,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,198 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 946,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/hoboken-2660/te-koop/huis/KIKLG,Days: 37,,,,
Prijs,€ 449.000,Adres,"Groenstraat 103, 2610 Wilrijk",Type,Woning (Huis),Woonopp.,208 m²,Grondopp.,777 m²,Slaapkamers,4,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,768 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.000,https://www.zimmo.be/nl/wilrijk-2610/te-koop/huis/KIKLJ,Days: 73,,,,,,
Prijs,€ 209.000,Adres,"Du Montstraat 24 / 101, 2100 Deurne",Type,Appartement,Woonopp.,72 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,1976,EPC,199 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/deurne-2100/te-koop/appartement/KIKLD,Days: 33,,,,,,,,,,,,,,
Prijs,€ 30.000,Adres,"Karel Oomsstraat 100, 2018 Antwerpen",Type,Kelder garage (Garage),Bebouwing,op aanvraag »,Bouwjaar,2022,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/antwerpen-2018/te-koop/garage/KIKGF,Days: 17,,,,,,,,,,,,,,,,
Prijs,€ 139.900,Adres,"Plantin en Moretuslei 8, 2018 Antwerpen",Type,Studio met slaaphoek (Appartement),Woonopp.,30 m²,Slaapkamers,op aanvraag »,Badkamers,1,Bouwjaar,1971,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 763,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/antwerpen-2018/te-koop/appartement/KIKHI,Days: 60,,,,,,,,,,
Prijs,€ 415.000,Adres,"Generaal Slingeneyerlaan 37, 2100 Deurne",Type,Bel-étage (Huis),Woonopp.,190 m²,Grondopp.,232 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,1959,EPC,277 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.182,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/deurne-2100/te-koop/huis/KIKGS,Days: 192,,,,
Prijs,€ 409.000,Adres,"Waterfordstraat 15, 2600 Berchem",Type,Woning (Huis),Woonopp.,165 m²,Grondopp.,80 m²,Slaapkamers,4,Badkamers,1,Bebouwing,gesloten,Bouwjaar,1890,EPC,223 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 617,https://www.zimmo.be/nl/berchem-2600/te-koop/huis/KIKDG,Days: 117,,,,,,,,
