0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Prijs,€ 700.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIJDU,Days: 45,,,,,,,,,
Prijs,€ 1.050.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Kantoorgebouw (Bedrijfsvastgoed),Woonopp.,350 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Garages,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIJDP,Days: 17,,,,,,,
Prijs,€ 990.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Projectgrond (Grond),Grondopp.,op aanvraag »,https://www.zimmo.be/nl/brussel-1000/te-koop/grond/KIJDR,Days: 13,,,,,,,,,,,,,,,,,,,,,
Prijs,€ 990.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Woning (Huis),Woonopp.,1.000 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIJDL,Days: 36,,,,,,,,,
Prijs,€ 22.500.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Gemengd gebruik (Huis),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIJDH,Days: 101,,,,,,,,,
Prijs,€ 1.290.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Handelsgelijkvloers (Bedrijfsvastgoed),Woonopp.,230 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIJDD,Days: 17,,,,,,,,,
Prijs,€ 915.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Serviceflat (Appartement),Woonopp.,op aanvraag »,Slaapkamers,60,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIJCT,Days: 27,,,,,,,,,,,,,
Prijs,€ 3.600.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Gemengd gebruik (Huis),Woonopp.,600 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIJCY,Days: 36,,,,,,,,,
Prijs,€ 1.100.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Slaapkamers,10,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIJCX,Days: 32,,,,,,,,,
Prijs,€ 2.250.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Woning (Huis),Woonopp.,420 m²,Grondopp.,420 m²,Slaapkamers,7,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,onmiddellijk,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIJCB,Days: 27,,,,,,,
Prijs,€ 4.200.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Kot-Kamer,Woonopp.,632 m²,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,onmiddellijk,https://www.zimmo.be/nl/brussel-1000/te-koop/kot-kamer/KIJCK,Days: 17,,,,,,,,,,,,,
Prijs,€ 4.200.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Woning (Huis),Woonopp.,632 m²,Grondopp.,632 m²,Slaapkamers,22,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,onmiddellijk,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIJCI,Days: 16,,,,,,,
Prijs,€ 480.000,Adres,"Hogeleeststraat 38, 1120 Neder-over-Heembeek",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Slaapkamers,3,Bebouwing,op aanvraag »,Bouwjaar,1970,EPC,In aanvraag,Energieklasse,KI,€ 1.477,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/huis/KIJ0E,Days: 86,,,,,,,,,
Prijs,€ 600.000,Adres,"Fabrieksstraat 34-36, 1000 Brussel",Type,Handelsgelijkvloers (Bedrijfsvastgoed),Woonopp.,370 m²,Grondopp.,op aanvraag »,Handelsopp.,1 m²,Garages,1,Bebouwing,gesloten,Bouwjaar,1930,EPC,In aanvraag,Energieklasse,In aanvraag,KI,€ 2.130,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIGJZ,Days: 21,,,,
Prijs,€ 750.000,Adres,"Zennestraat 30, 1000 Brussel",Type,Handelsgelijkvloers (Bedrijfsvastgoed),Woonopp.,415 m²,Grondopp.,415 m²,Handelsopp.,1 m²,Bebouwing,gesloten,Bouwjaar,1930,EPC,In aanvraag,Energieklasse,In aanvraag,KI,€ 4.672,Vrij op,overeen te komen,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIGJX,Days: 20,,,,,,
Prijs,€ 230.000,Adres,"Rue Archimède 87-89, 1000 Brussel",Type,Staanplaats (Garage),Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/garage/KIGIQ,Days: 21,,,,,,,,,,,,,,,,,,
Prijs,€ 475.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Duplex (Appartement),Woonopp.,135 m²,Slaapkamers,2,Badkamers,2,Bouwjaar,1900,EPC,196 kWh/m²,Energieklasse,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIGH3,Days: 131,,,,,,,,
